scenario,algorithm,trial,found,time_s,expanded,visited,frontier_peak,path_len,total_cost,b_star
S1,BFS,1,True,0.004593598999690585,4349,4349,95,85,85.0,1.068532338573902
S1,BFS,2,True,0.0034288869996998983,3247,3247,90,65,65.0,1.0898631431925487
S1,BFS,3,True,0.004793741999947088,4481,4481,129,66,66.0,1.094517037009604
S1,BFS,4,True,0.004381026000373822,4421,4421,109,71,71.0,1.0860594474790446
S1,BFS,5,True,0.0035280300003250886,3611,3611,87,66,66.0,1.0902571671109755
S1,BFS,6,True,0.005959892000191758,5916,5916,96,105,105.0,1.0563664976648708
S1,BFS,7,True,0.005569532999743387,5692,5692,91,107,107.0,1.0546102298641657
S1,BFS,8,True,0.004639137000140181,4773,4773,95,111,111.0,1.0501691862524392
S1,BFS,9,True,0.005028327999752946,4669,4669,94,91,91.0,1.0639423460217472
S1,BFS,10,True,0.005018454000037309,4606,4606,129,67,67.0,1.0932972876581855
S1,BFS,11,True,0.004506620000029216,4446,4446,127,62,62.0,1.1020041686042
S1,BFS,12,True,0.00042733999998745276,434,434,52,19,19.0,1.2693267971466007
S1,BFS,13,True,0.007063573999857908,6557,6557,99,123,123.0,1.047398107765246
S1,BFS,14,True,0.0014721980001013435,1539,1539,96,37,37.0,1.1551105971015279
S1,BFS,15,True,0.001174841999727505,1249,1249,63,37,37.0,1.147247049056149
S1,BFS,16,True,0.004828294000162714,4609,4609,165,59,59.0,1.1093075461228379
S1,BFS,17,True,0.004368351999801234,4106,4106,88,95,95.0,1.0588766233759084
S1,BFS,18,True,0.0065282450000268,6283,6283,90,105,105.0,1.0570918892746723
S1,BFS,19,True,0.001755429000240838,1726,1726,105,37,37.0,1.1594207937496739
S1,BFS,20,True,0.00393067200002406,3719,3719,90,92,92.0,1.059905283547169
S1,BFS,21,True,0.0073063760000877664,6492,6492,97,118,118.0,1.0497819276391156
S1,BFS,22,True,0.003276560999893263,3149,3149,123,51,51.0,1.1211572108497387
S1,BFS,23,True,0.000927520999994158,971,971,48,42,42.0,1.116457192315584
S1,BFS,24,True,0.0023840839999138552,2268,2268,69,64,64.0,1.0842531989492539
S1,BFS,25,True,0.006804887999805942,6011,6011,103,88,88.0,1.070331278071352
S1,BFS,26,True,0.007524679999733053,6662,6662,103,116,116.0,1.0511237566233826
S1,BFS,27,True,0.007242069999847445,4416,4416,104,73,73.0,1.0831138513684273
S1,BFS,28,True,0.002119485000093846,2182,2182,101,49,49.0,1.1173861286178788
S1,BFS,29,True,0.006771057000150904,6603,6603,92,121,121.0,1.0484396189396454
S1,Dijkstra,1,True,0.008300605999920663,4273,4273,87,85,85.0,1.0682658150405993
S1,Dijkstra,2,True,0.006732682000347268,3225,3225,90,65,65.0,1.0897261690485642
S1,Dijkstra,3,True,0.008082021000063833,4470,4470,129,66,66.0,1.0944686331512736
S1,Dijkstra,4,True,0.007827699000245048,4455,4455,101,71,71.0,1.086199113259359
S1,Dijkstra,5,True,0.006418542000119487,3569,3569,85,66,66.0,1.0900257551940267
S1,Dijkstra,6,True,0.01056313900016903,5861,5861,97,105,105.0,1.0562538188060149
S1,Dijkstra,7,True,0.010248186999888276,5678,5678,92,107,107.0,1.054581059614883
S1,Dijkstra,8,True,0.008571452000069257,4844,4844,97,111,111.0,1.0503385512544603
S1,Dijkstra,9,True,0.009118214000409353,4648,4648,92,91,91.0,1.0638789590018267
S1,Dijkstra,10,True,0.008926622000217321,4518,4518,121,67,67.0,1.09292354670881
S1,Dijkstra,11,True,0.008107332000236056,4454,4454,125,62,62.0,1.1020420225745773
S1,Dijkstra,12,True,0.0008915410003282886,399,399,52,19,19.0,1.2624239282492749
S1,Dijkstra,13,True,0.01159661000019696,6539,6539,99,123,123.0,1.0473699619687236
S1,Dijkstra,14,True,0.0028738690002683143,1599,1599,97,37,37.0,1.1565487242496189
S1,Dijkstra,15,True,0.002272311000069749,1236,1236,65,37,37.0,1.1468523631735978
S1,Dijkstra,16,True,0.00883900700000595,4587,4587,168,59,59.0,1.1092013259849773
S1,Dijkstra,17,True,0.007641767000222899,4108,4108,87,95,95.0,1.0588831993857264
S1,Dijkstra,18,True,0.011517722999997204,6263,6263,90,105,105.0,1.0570534928076039
